nama,alamat,deskripsi
Capital O 253 Topas Galeria Hotel,"Jl. Dr. Djundjunan No. 153, 40173 Bandung, Indonesia","Berjarak 10 menit berkendara dari Bandara Internasional Husein Sastranegara Bandung, Topas Galeria Hotel memiliki sebuah kolam renang terbuka, restoran, dan kamar-kamar dengan perabotan klasik. Hotel memiliki bagian penerima tamu 24 jam, akses Wi-Fi, dan parkir pribadi gratis.Mudah diakses dari Gerbang Tol Pasteur, Hotel Topas berselang 10 menit jalan kaki dari mal-mal dan toko factory outlet terdekat. Kamar-kamar ber-AC di Topas Galleria memiliki sebuah TV dengan lebih dari 50 saluran kabel, serta lantai kayu. Untuk kenyamanan Anda, sebuah kulkas dan fasilitas membuat teh/kopi juga tersedia. Kamar mandi pribadi memiliki fasilitas shower air panas. Anda dapat bersantai di area lounge Topas Hotel, yang menampilkan seni dan kerajinan tangan Indonesia. Perencanaan perjalanan bisa dilakukan di meja tur yang juga menawarkan layanan tiket. Layanan antar-jemput bandara dan jasa penyewaan mobil juga tersedia. Menghadap kolam renang, kedai kopi bergaya Art Deco milik hotel menawarkan hidangan prasmanan internasional dan pertunjukan hiburan setiap Jumat dan Sabtu. Hidangan ringan disajikan di Cafe d'Croissant yang buka 24 jam."
Sheraton Bandung Hotel & Towers,"Jl. Ir H Juanda 390, 40135 Bandung, Indonesia","Sheraton Hotel & Towers menawarkan akomodasi bintang 5 di tengah lanskap hijau di Bandung. Semua kamar yang luas dilengkapi TV kabel layar datar. Hotel ini menawarkan kolam renang outdoor, pusat spa, dan restoran dengan pemandangan gunung. Akses Wi-Fi tersedia gratis di seluruh area hotel. Kamar-kamar elegan memiliki interior modern, perabotan dari kayu ringan, dan jendela-jendela besar. Masing-masing menyediakan area tempat duduk yang nyaman, pemutar DVD, dan kamar mandi pribadi dengan shower. Anda dapat berolahraga di gym atau menikmati perawatan tubuh di spa. Staf resepsionis siap melayani kebutuhan Anda selama 24 jam. Aneka hidangan internasional dan Asia ditawarkan di Feast Restaurant, sementara minuman ringan disajikan di Samsara Lounge. Berbagai koktail dan makanan ringan juga tersedia di Poolside Terrace. Sheraton Bandung Hotel & Towers berselang 10 menit berkendara dari Juanda Culture Park dan daerah Dago, tempat berbagai factory outlet. Bandara Husein Sastranegara dapat ditempuh dengan 30 menit berkendara."
OYO 794 Ln 9 Bandung Residence,"Jalan Lemahnendeut No 9, Sukajadi, 40164 Bandung, Indonesia ","Berlokasi nyaman di Sukajadi, Bandung, OYO 794 Ln 9 Bandung Residence berjarak 4,4 km dari Villa Isola, 5 km dari Mal Perbelanjaan Cihampelas Walk, dan 7 km dari Gedung Sate. Semua kamar memiliki TV satelit layar datar dan kamar mandi pribadi. Menyuguhkan pemandangan kota, kamar-kamarnya dilengkapi AC, meja, dan Wi-Fi gratis. Resepsionis 24 jam dapat berbahasa Inggris dan Indonesia. Jalan Riau berjarak 8 km dari hotel, sedangkan Braga City Walk berjarak 9 km. Bandara terdekat adalah Bandara Husein Sastranegara, 2,9 km dari OYO 794 Ln 9 Bandung Residence. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
OYO 226 LJ hotel,"Jl. Malabar No.2, Malabar, Lengkong, Dago, Asia Afrika, Braga, Kota Bandung, Jawa Barat 40262, 40262 Bandung, Indonesia ","OYO 226 LJ hotel di Bandung, Jawa Barat, tepatnya 1,9 km dari Istana Merdeka dan 2,2 km dari Jalan Riau menawarkan akomodasi dengan ruang bersama, TV layar datar dengan saluran kabel, kamar mandi pribadi, AC, pemandangan kota, lemari pakaian, dan Wi-Fi gratis. Tersedia juga pilihan sarapan prasmanan dan Asia setiap pagi di hotel ini. Fasilitas lainnya adalah resepsionis 24 jam. Akomodasi ini berjarak 2,3 km dari Braga City Walk, 2,8 km dari Trans Studio Bandung, serta 9 km dari Bandara Husein Sastranegara."
OYO 230 Maleo Residence,"JI. Dangeur Indah II No. 15, Sukagalih, Sukajadi, Pasteur, Sukajadi, 40163 Bandung, Indonesia","OYO 230 Maleo Residence menawarkan akomodasi bintang 2 bebas rokok dengan balkon pribadi, AC, kamar mandi pribadi, serta Wi-Fi gratis di Bandung tepatnya 3,7 km dari Villa Isola. Kamar-kamar di hotel ini memiliki meja dan TV layar datar. Resepsionisnya yang fasih berbahasa Inggris dan Indonesia siap membantu Anda. OYO 230 Maleo Residence berjarak 5 km dari Cihampelas Walk, 6 km dari Terminal Bus Stasiun Hall, serta 2,8 km dari Bandara Husein Sastranegara. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
OYO 167 Dago's Hill Hotel,"Jalan Tubagus Ismail VIII No. 39 A, Sekeloa, Coblong, Dago, Asia Afrika, Braga, 40134 Bandung, Indonesia ","Menawarkan akses Wi-Fi gratis di seluruh area hotel, Dago's Hill Hotel, Business and Leisure berselang 10 menit berkendara dari daerah Dago yang menawarkan beragam factory outlet. Hotel ini memiliki sebuah kolam renang outdoor dan kamar-kamar modern dengan kamar mandi pribadi. Paris Van Java Shopping Mall berjarak 20 menit berkendara dari Dago's Hill Hotel. Bandara Husein Sastranegara dan Stasiun Pusat Bandung dapa dicapai dalam 30 menit berkendara. Dibutuhkan waktu 45 menit berkendara menuju Taman Hiburan Indoor Trans Studio dari properti ini. Semua kamarnya yang lengkap menawarkan lantai keramik dan AC. Setiap kamar memiliki meja, telepon, dan TV kabel layar datar. Tersedia brankas di kamar-kamar tertentu. Kamar mandi pribadinya menyediakan fasilitas shower. Beragam fasilitasnya mencakup layanan binatu dan fasilitas rapat/perjamuan. Staf di meja depan 24 jam juga dapat mengatur penyewaan mobil dan antar-jemput bandara. Hidangan Indonesia dan internasional disajikan di restoran hotel. Anda juga dapat menikmati santapan dalam kenyamanan kamar Anda."
OYO 794 Ln 9 Bandung Residence,"Jalan Lemahnendeut No 9, Sukajadi, 40164 Bandung, Indonesia ","Berlokasi nyaman di Sukajadi, Bandung, OYO 794 Ln 9 Bandung Residence berjarak 4,4 km dari Villa Isola, 5 km dari Mal Perbelanjaan Cihampelas Walk, dan 7 km dari Gedung Sate. Semua kamar memiliki TV satelit layar datar dan kamar mandi pribadi. Menyuguhkan pemandangan kota, kamar-kamarnya dilengkapi AC, meja, dan Wi-Fi gratis. Resepsionis 24 jam dapat berbahasa Inggris dan Indonesia. Jalan Riau berjarak 8 km dari hotel, sedangkan Braga City Walk berjarak 9 km. Bandara terdekat adalah Bandara Husein Sastranegara, 2,9 km dari OYO 794 Ln 9 Bandung Residence. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
OYO 196 Horizone Residence,"Jl. Tres.Babakan Jeruk 8A No.5a, Sukajadi, 40163 Bandung, Indonesia","OYO 196 Horizone Residence terletak strategis di Sukajadi, Bandung, hanya 4 km dari Villa Isola, 5 km dari Terminal Bus Stasiun Hall, dan 5 km dari Gedung Sate. Hotel bintang-2 ini menyediakan kamar-kamar ber-AC dengan kamar mandi pribadi dan Wi-Fi gratis. Akomodasi ini bebas rokok dan berjarak 3,9 km dari Cihampelas Walk Shopping Mall. Kamar-kamar di hotel ini dilengkapi meja dan TV layar datar. Staf resepsionis dapat berbicara dalam bahasa Inggris dan Indonesia. Jalan Riau berjarak 6 km dari OYO 196 Horizone Residence, sementara Braga City Walk terletak sejauh 6 km. Bandara terdekat adalah Bandara Husein Sastranegara, yang berjarak 2,8 km. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
OYO 483 Flagship Tamansari Panoramic Bandung,"Jl. Soekarno-Hatta No.723, Bandung, 40292 Bandung, Indonesia","OYO 483 Flagship Tamansari Panoramic Bandung yang terletak di Bandung, 7 km dari Saung Angklung Udjo, menawarkan kamar-kamar dengan AC dan akses Wi-Fi gratis. Selain berada di lokasi yang nyaman di kawasan Buahbatu, hotel ini sejauh 10 km dari Jalan Riau. Hotel ini menawarkan kolam renang outdoor dan bagian penerima tamu 24 jam. Setiap kamar dilengkapi lemari. Selain kamar mandi pribadi, kamar-kamar di OYO 483 Flagship Tamansari Panoramic Bandung juga menyediakan akses Wi-Fi gratis bagi Anda. Ada TV layar datar dan perlengkapan mandi gratis. Gedung Sate berjarak 11 km dari OYO 483 Flagship Tamansari Panoramic Bandung. Bandara terdekat adalah Bandara Husein Sastranegara, 17 km dari hotel."
OYO 295 Grha Ciumbuleuit Residence,"Jl. Ciumbuleuit No.156, Ciumbuleuit, Cidadap, Bandung, 40142, 40142 Bandung, Indonesia","Terletak di Bukit Bandung Utara, Grha Ciumbuleuit Guest House merupakan hotel modern bergaya minimalis yang menawarkan sebuah gym dan kolam renang outdoor. Hotel ini juga menyediakan Wi-Fi dan parkir gratis. Grha Ciumbuleuit Guest House berselang 5 menit berkendara dari Cihampelas Counter Fashion dan 10 menit berkendara dari Pusat Perbelanjaan Paris Van Java. Bandara Internasional Husein Sastra Negara dapat dicapai dalam 20 menit dengan taksi. Kamar-kamarnya yang modern menawarkan AC, TV satelit/kabel layar datar, dan meja. Kamar mandi pribadinya dilengkapi dengan fasilitas shower air panas dan dingin. Penyewaan mobil dan perjalanan wisata dapat diatur di meja layanan wisata. Anda dapat menikmati pijat yang memanjakan atau bersantai di spa/pusat kesehatan. Layanan menyetrika dan dry cleaning juga tersedia. Pilihan hidangan lokal dan Barat disajikan di restoran hotel. Anda juga dapat menikmati aneka minuman seperti kopi dan jus."
