name,address,description
Capital O 253 Topas Galeria Hotel,"Jl. Dr. Djundjunan No. 153, 40173 Bandung, Indonesia","A 10-minute drive from Bandung Airport, Topas Galeria Hotel features an outdoor pool, restaurant and rooms with classic furnishings. It has a 24-hour front desk, Wi-Fi access and free private parking. Easily accessible from Pasteur Toll Gate, Hotel Topas is a 10-minute walk from the nearest shopping mall and factory outlet store. Air-conditioned rooms at Topas Galleria feature a TV set with more than 50 cable channels and hardwood floors. For convenience, a fridge and tea/coffee making amenities are provided. Private bathrooms have hot shower facilities. Guests can relax at Topas Hotel’s lounge areas, which feature Indonesian art and handicrafts. Travel arrangements can be made at the tour desk offering ticket service. Airport shuttle and car rental services are available. Overlooking the pool, the art deco coffee house offers international buffet spreads and live entertainment on Fridays and Saturdays. Light refreshments are served at the 24-hour Cafe d'Croissant."
Sheraton Bandung Hotel & Towers,"Jl. Ir H Juanda 390, 40135 Bandung, Indonesia","Sheraton Hotel & Towers offers 5-star accommodation in the middle of a green landscape in Bandung. All spacious rooms come with a flat-screen cable TV. The hotel offers an outdoor pool, spa center and restaurant with mountain views. Wi-Fi access is available free in all areas of the hotel. Elegant rooms have modern interiors, light wood furnishings and large windows. Each provides a comfortable seating area, DVD player and private bathroom with shower. You can work out in the gym or enjoy body treatments at the spa. Reception staff are ready to serve your needs for 24 hours. International and Asian dishes are offered at Feast Restaurant, while soft drinks are served at Samsara Lounge. A variety of cocktails and snacks are also available at Poolside Terrace. Sheraton Bandung Hotel & Towers is a 10-minute drive from Juanda Culture Park and Dago area, where various factory outlets are located. Husein Sastranegara Airport is a 30-minute drive away."
OYO 794 Ln 9 Bandung Residence,"Jalan Lemahnendeut No 9, Sukajadi, 40164 Bandung, Indonesia","Conveniently located in Sukajadi, Bandung, OYO 794 Ln 9 Bandung Residence is 4.4 km from Villa Isola, 5 km from Cihampelas Walk Shopping Mall, and 7 km from Gedung Sate. All rooms have a flat-screen satellite TV and a private bathroom. Offering views of the city, rooms come with air conditioning, a desk and free Wi-Fi. The 24-hour reception can speak English and Indonesian. Riau Road is 8 km from the hotel, while Braga City Walk is 9 km away. The nearest airport is Husein Sastranegara Airport, 2.9 km from OYO 794 Ln 9 Bandung Residence. Sukajadi is the right choice for tourists who like typical cuisine, sights and culinary tours."
OYO 226 LJ hotel,"Jl. Malabar No.2, Malabar, Lengkong, Dago, Asia Africa, Braga, Bandung City, West Java 40262, 40262 Bandung, Indonesia","Featuring a shared lounge, OYO 226 LJ hotel is located in Bandung in the Jawa Barat region, 1.9 km from Merdeka Palace and 2.3 km from Riau Street. All rooms have a flat-screen TV with cable channels and a private bathroom. The air-conditioned rooms provide a city view and come with a closet and free WiFi. Buffet and Asian breakfast options are available every morning at the hotel. Staff at OYO 226 LJ hotel are available to give information at the 24-hour front desk. Braga City Walk is 2.3 km from the accommodation, while Trans Studio Bandung is 2.9 km from the property. The nearest airport is Husein Sastranegara Airport, 8 km from OYO 226 LJ hotel."
OYO 230 Maleo Residence,"JI. Dangeur Indah II No. 15, Sukagalih, Sukajadi, Pasteur, Sukajadi, 40163 Bandung, Indonesia","Attractively set in the Sukajadi district of Bandung, OYO 230 Maleo Residence is located 3.7 km from Villa Isola, 4.7 km from Cihampelas Walk and 5.8 km from Stasiun Hall Bus Terminal. The property is around 6 km from Gedung Sate, 8 km from Riau Street and 8 km from Braga City Walk. Free WiFi and a 24-hour front desk are offered. At the hotel, rooms include a desk. Complete with a private bathroom equipped with a bath and free toiletries, the rooms at OYO 230 Maleo Residence have a flat-screen TV and air conditioning, and certain rooms have a balcony. The nearest airport is Husein Sastranegara Airport, 2.7 km from the accommodation. Sukajadi is a great choice for travelers interested in culturally diverse food, scenery and food shopping."
OYO 167 Dago's Hill Hotel,"Jalan Tubagus Ismail VIII No. 39 A, Sekeloa, Coblong, Dago, Asia Afrika, Braga, 40134 Bandung, Indonesia","Offering free Wi-Fi access throughout the hotel, Dago's Hill Hotel, Business and Leisure is a 10-minute drive from Dago area which offers a variety of factory outlets. The hotel has an outdoor pool and modern rooms with private bathrooms. Paris Van Java Shopping Mall is a 20-minute drive from Dago's Hill Hotel.Husein Sastranegara Airport and Bandung Central Station can be reached in a 30-minute drive. It takes 45 minutes to drive to Trans Studio Indoor Amusement Park from this property. All well-equipped rooms offer tiled floors and air conditioning. Each room has a desk, telephone and flat-screen cable TV. Safes in certain rooms are available. The private bathroom provides shower facilities. A variety of facilities include laundry services and meeting / banquet facilities. Staff at the 24-hour front desk can also arrange car rentals and airport transfers. Indonesian and international dishes are served at the hotel’s restaurant. You can also enjoy meals in the comfort of your room."
OYO 794 Ln 9 Bandung Residence,"Jalan Lemahnendeut No 9, Sukajadi, 40164 Bandung, Indonesia","Conveniently located in Sukajadi, Bandung, OYO 794 Ln 9 Bandung Residence is 4.4 km from Villa Isola, 5 km from Cihampelas Walk Shopping Mall, and 7 km from Gedung Sate. All rooms have a flat-screen satellite TV and a private bathroom. Offering views of the city, rooms come with air conditioning, a desk and free Wi-Fi. The 24-hour reception can speak English and Indonesian. Riau Road is 8 km from the hotel, while Braga City Walk is 9 km away. The nearest airport is Husein Sastranegara Airport, 2.9 km from OYO 794 Ln 9 Bandung Residence. Sukajadi is the right choice for tourists who like typical cuisine, sights and culinary tours."
OYO 196 Horizone Residence,"Jl. Tres.Babakan Jeruk 8A No.5a, Sukajadi, 40163 Bandung, Indonesia","Located conveniently in the Sukajadi district of Bandung, OYO 196 Horizone Residence is located 3.9 km from Cihampelas Walk, 4 km from Villa Isola and 5.1 km from Stasiun Hall Bus Terminal. The 2-star hotel has air-conditioned rooms with a private bathroom and free WiFi. At the hotel the rooms are equipped with a desk and a flat-screen TV. Staff speak English and Indonesian at the reception. Gedung Sate is 5.3 km from OYO 196 Horizone Residence, while Riau Street is 5.8 km from the property. The nearest airport is Husein Sastranegara Airport, 2.7 km from the accommodation. Sukajadi is a great choice for travelers interested in culturally diverse food, scenery and food shopping."
OYO 483 Flagship Tamansari Panoramic Bandung,"Jl. Soekarno-Hatta No.723, Bandung, 40292 Bandung, Indonesia","Located in Bandung, 7.2 km from Saung Angklung Udjo, OYO 483 Flagship Tamansari Panoramic Bandung provides rooms with air conditioning. 9.7 km from Riau Street, the property is also 11.3 km away from Gedung Sate. Free WiFi is included. At the hotel, every room is equipped with a closet. Rooms are complete with a private bathroom equipped with a shower and free toiletries, while some rooms here will provide you with a terrace. OYO 483 Flagship Tamansari Panoramic Bandung has an outdoor pool. Non-stop assistance is available at the reception. Merdeka Palace is 11.3 km from the accommodation. The nearest airport is Husein Sastranegara Airport, 16.1 km from the property."
OYO 295 Grha Ciumbuleuit Residence,"Jl. Ciumbuleuit No.156, Ciumbuleuit, Cidadap, Bandung, 40142, 40142 Bandung, Indonesia","Located in North Bandung Hill, Grha Ciumbuleuit Guest House is a modern minimalist style hotel offering a gym and outdoor pool. The hotel also provides free Wi-Fi and free parking. Grha Ciumbuleuit Guest House is a 5-minute drive from Cihampelas Counter Fashion and a 10-minute drive from Paris Van Java Shopping Center. The Husein Sastra Negara International Airport can be reached in 20 minutes by taxi. The modern rooms offer air conditioning, flat-screen satellite / cable TV and a desk. The private bathroom is equipped with hot and cold shower facilities. Car rental and sightseeing trips can be arranged at the tour desk. You can enjoy a pampering massage or relax in the spa / health center. Ironing and dry cleaning services are also available. A selection of local and Western dishes is served at the hotel’s restaurant. You can also enjoy various drinks such as coffee and juice."
